Season;Direction;Player;Age;Position;Nationality;From Club;To Club;Fee (raw);Fee Type;Fee (EUR);Market Value
2023/24;Arrival;Ragnar Ache;24;Centre-Forward;Germany;Greuther Fï¿½ï¿;;End of loan30.06.2023;loan_return;0.0;End of loan30.06.2023
2023/24;Arrival;Igor Matanovic;20;Centre-Forward;Croatia;FC St. Pauli;;End of loan30.06.2023;loan_return;0.0;End of loan30.06.2023
2023/24;Arrival;Ali Akman;21;Centre-Forward;Tï¿½ï¿½ï;Gï¿½ï¿½ï;;End of loan30.06.2023;loan_return;0.0;End of loan30.06.2023
2023/24;Departure;Randal Kolo Muani;24;Centre-Forward;France;;Paris SG;ýýý95.00m;transfer;95000000.0;ýýý95.00m
2023/24;Departure;Jesper Lindstrï¿½;23;Right Winger;Denmark;;Napoli;ýýý30.00m;transfer;30000000.0;ýýý30.00m
2023/24;Departure;Djibril Sow;26;Central Midfield;Switzerland;;Sevilla FC;ýýý10.00m;transfer;10000000.0;ýýý10.00m
2023/24;Departure;Rafael Borrï¿;28;Centre-Forward;Colombia;;Internacional;ýýý6.50m;transfer;6500000.0;ýýý6.50m
2023/24;Departure;Diant Ramaj;21;Goalkeeper;Germany;;Ajax;ýýý5.00m;transfer;5000000.0;ýýý5.00m
2023/24;Departure;Ragnar Ache;24;Centre-Forward;Germany;;1.FC K'lautern;ýýý1.50m;transfer;1500000.0;ýýý1.50m
2023/24;Departure;Christopher Lenz;28;Left-Back;Germany;;RB Leipzig;ýýý1.00m;transfer;1000000.0;ýýý1.00m
2023/24;Departure;Lucas Alario;31;Centre-Forward;Argentina;;Internacional;ýýý500k;transfer;500000.0;ýýý500k
2023/24;Departure;Evan Ndicka;23;Centre-Back;Cote d'Ivoire;;AS Roma;free transfer;free;0.0;free transfer
2023/24;Departure;Daichi Kamada;26;Attacking Midfield;Japan;;Lazio;free transfer;free;0.0;free transfer
2023/24;Departure;Jan Schrï¿½ï¿;20;Left-Back;Germany;;Delaware;free transfer;free;0.0;free transfer
2023/24;Departure;Ali Akman;21;Centre-Forward;Tï¿½ï¿½ï;;FCV Dender EH;?;other;;?
2023/24;Departure;Rafael Borrï¿;27;Centre-Forward;Colombia;;Werder Bremen;loan transfer;loan;;loan transfer
2023/24;Departure;Kristijan Jakic;26;Defensive Midfield;Croatia;;FC Augsburg;loan transfer;loan;;loan transfer
2023/24;Departure;Aurï¿½ï¿½ï¿½ï¿;20;Centre-Back;Switzerland;;BSC Young Boys;loan transfer;loan;;loan transfer
2023/24;Departure;Paxten Aaronson;20;Attacking Midfield;United States;;Vitesse;loan transfer;loan;;loan transfer
2023/24;Departure;Jessic Ngankam;23;Centre-Forward;Germany;;1.FSV Mainz 05;loan transfer;loan;;loan transfer
