Season;Direction;Player;Age;Position;Nationality;From Club;To Club;Fee (raw);Fee Type;Fee (EUR);Market Value
2021/22;Departure;Lukas Fahrnberger;20;Defensive Midfield;Austria;;;-;undisclosed;;-
2021/22;Departure;Luka Joviï¿;23;Centre-Forward;Serbia;;Real Madrid;End of loan30.06.2021;loan_return;0.0;End of loan30.06.2021
2021/22;Departure;Markus Schubert;23;Goalkeeper;Germany;;FC Schalke 04;End of loan30.06.2021;loan_return;0.0;End of loan30.06.2021
2021/22;Departure;Amin Younes;28;Left Winger;Germany;;Napoli;End of loan18.01.2022;loan_return;0.0;End of loan18.01.2022
2022/23;Arrival;Jens Petter Hauge;22;Left Winger;Norway;AC Milan;;ýýý8.20m;transfer;8200000.0;ýýý8.20m
2022/23;Arrival;Lucas Alario;29;Centre-Forward;Argentina;B. Leverkusen;;ýýý6.00m;transfer;6000000.0;ýýý6.00m
2022/23;Arrival;Paxten Aaronson;19;Attacking Midfield;United States;Philadelphia;;ýýý4.00m;transfer;4000000.0;ýýý4.00m
2022/23;Arrival;Kristijan Jakic;25;Defensive Midfield;Croatia;Dinamo Zagreb;;ýýý3.50m;transfer;3500000.0;ýýý3.50m
2022/23;Arrival;Mario Gï¿½ï¿;30;Attacking Midfield;Germany;PSV Eindhoven;;ýýý3.00m;transfer;3000000.0;ýýý3.00m
2022/23;Arrival;Hrvoje Smolcic;21;Centre-Back;Croatia;HNK Rijeka;;ýýý2.50m;transfer;2500000.0;ýýý2.50m
2022/23;Arrival;Simon Simoni;18;Goalkeeper;Albania;Dinamo City;;ýýý600k;transfer;600000.0;ýýý600k
